Combined Date,Exams,Holidays,Country,Holiday Type
2019-05-25,AIIMS MBBS,Not a Holiday,India,N/A
2019-11-17,AIIMS PG,Not a Holiday,India,N/A
2019-11-24,PGIMER Entrance Exam,Not a Holiday,India,N/A
2020-10-11,MAH CET Law,Not a Holiday,India,N/A
2023-05-25,TS LAWCET,Not a Holiday,India,N/A
2023-12-10,AILET,Not a Holiday,India,N/A
2024-01-01,No Exam,New Year's Day,India,['Optional holiday']
2024-01-13,No Exam,Lohri,India,['National holiday']
2024-01-14,No Exam,Makar Sankranti,India,"['Hinduism', 'Optional holiday']"
2024-01-15,No Exam,Pongal,India,"['Hinduism', 'Optional holiday']"
2024-01-17,No Exam,Guru Govind Singh Jayanti,India,['Observance']
2024-01-25,No Exam,Hazarat Ali's Birthday,India,['Optional holiday']
2024-01-26,No Exam,Republic Day,India,['National holiday']
2024-02-10,No Exam,Lunar New Year,India,['Observance']
2024-02-14,No Exam,Vasant Panchami,India,"['Hinduism', 'Optional holiday']"
2024-02-14,No Exam,Valentine's Day,India,['Observance']
2024-02-19,No Exam,Shivaji Jayanti,India,['Optional holiday']
2024-02-24,No Exam,Guru Ravidas Jayanti,India,['Optional holiday']
2024-03-06,No Exam,Maharishi Dayanand Saraswati Jayanti,India,['Optional holiday']
2024-03-08,No Exam,Maha Shivaratri/Shivaratri,India,"['Hinduism', 'Optional holiday']"
2024-03-12,No Exam,Ramadan Start,India,['Observance']
2024-03-24,No Exam,Holika Dahana,India,['Optional holiday']
2024-03-25,No Exam,Holi,India,"['National holiday', 'Hinduism']"
2024-03-25,No Exam,Dolyatra,India,['National holiday']
2024-03-28,No Exam,Maundy Thursday,India,"['Observance', 'Christian']"
2024-03-29,No Exam,Good Friday,India,['National holiday']
2024-03-31,No Exam,Easter Day,India,['Optional holiday']
2024-04-04,JEE Main,Not a Holiday,India,N/A
2024-04-05,No Exam,Jamat Ul-Vida,India,['Optional holiday']
2024-04-09,No Exam,Chaitra Sukhladi,India,"['Hinduism', 'Optional holiday']"
2024-04-09,No Exam,Ugadi,India,"['Hinduism', 'Optional holiday']"
2024-04-09,No Exam,Gudi Padwa,India,"['Hinduism', 'Optional holiday']"
2024-04-10,No Exam,Ramzan Id/Eid-ul-Fitar,India,"['Muslim', 'Common local holiday']"
2024-04-11,No Exam,Ramzan Id/Eid-ul-Fitar,India,['National holiday']
2024-04-13,No Exam,Vaisakhi,India,['Optional holiday']
2024-04-14,No Exam,Mesadi / Vaisakhadi,India,['Optional holiday']
2024-04-14,No Exam,Ambedkar Jayanti,India,['National holiday']
2024-04-17,No Exam,Rama Navami,India,"['National holiday', 'Hinduism']"
2024-04-21,No Exam,Mahavir Jayanti,India,['National holiday']
2024-04-23,No Exam,First day of Passover,India,['Observance']
